,url,scene_tag,start_frame,end_frame,mean_frame
44,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T210000Z.mov,d2_p2_z0,2671,2771,2721
45,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T210000Z.mov,d2_p2_z0,3991,4201,4096
46,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/22/CAMHDA301-20151122T210000Z.mov,d2_p2_z0,4261,4351,4306
47,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,2591,2651,2621
48,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,2701,2811,2756
49,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,4031,4241,4136
50,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T000000Z.mov,d2_p2_z0,4341,4381,4361
51,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T030000Z.mov,d2_p2_z0,2501,2591,2546
52,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T030000Z.mov,d2_p2_z0,2641,2751,2696
53,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T030000Z.mov,d2_p2_z0,3971,4331,4151
54,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T060000Z.mov,d2_p2_z0,2551,2811,2681
55,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T060000Z.mov,d2_p2_z0,4021,4201,4111
56,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T060000Z.mov,d2_p2_z0,4271,4381,4326
57,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T090000Z.mov,d2_p2_z0,2541,2651,2596
58,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T090000Z.mov,d2_p2_z0,2701,2811,2756
59,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T090000Z.mov,d2_p2_z0,4031,4211,4121
60,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T090000Z.mov,d2_p2_z0,4311,4391,4351
61,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T120000Z.mov,d2_p2_z0,2681,2791,2736
62,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T120000Z.mov,d2_p2_z0,4011,4221,4116
63,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T120000Z.mov,d2_p2_z0,4301,4371,4336
64,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T150000Z.mov,d2_p2_z0,2541,2651,2596
65,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T150000Z.mov,d2_p2_z0,2701,2821,2761
66,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T150000Z.mov,d2_p2_z0,4031,4211,4121
67,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T150000Z.mov,d2_p2_z0,4281,4391,4336
68,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T180000Z.mov,d2_p2_z0,2491,2561,2526
69,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T180000Z.mov,d2_p2_z0,2631,2741,2686
70,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T180000Z.mov,d2_p2_z0,3961,4171,4066
71,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T180000Z.mov,d2_p2_z0,4241,4321,4281
72,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T210000Z.mov,d2_p2_z0,2501,2601,2551
73,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T210000Z.mov,d2_p2_z0,2651,2761,2706
74,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/23/CAMHDA301-20151123T210000Z.mov,d2_p2_z0,3981,4191,4086
75,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T000000Z.mov,d2_p2_z0,2671,2781,2726
76,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T000000Z.mov,d2_p2_z0,4001,4211,4106
77,/RS03ASHS/PN03B/06-CAMHDA301/2015/11/24/CAMHDA301-20151124T000000Z.mov,d2_p2_z0,4301,4361,4331
